127.0.0.1 - - [11/Jan/2019:22:56:59 +0900] "GET /robots.txt HTTP/1.1" 404 1084
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET / HTTP/1.1" 200 11286
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET /tomcat.css HTTP/1.1" 200 5581
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [11/Jan/2019:22:57:00 +0900] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [11/Jan/2019:22:57:04 +0900] "GET /chap02/time.jsp HTTP/1.1" 200 144
127.0.0.1 - - [11/Jan/2019:23:13:26 +0900] "GET /chap02/time.jsp HTTP/1.1" 200 144
127.0.0.1 - - [11/Jan/2019:23:13:26 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [11/Jan/2019:23:13:34 +0900] "GET /chap02/useDecl2 HTTP/1.1" 404 1093
127.0.0.1 - - [11/Jan/2019:23:13:39 +0900] "GET /chap02/useDecl2.jsp HTTP/1.1" 500 2457
127.0.0.1 - - [11/Jan/2019:23:14:22 +0900] "GET /chap02/useDecl2.jsp HTTP/1.1" 200 195
127.0.0.1 - - [11/Jan/2019:23:14:22 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [11/Jan/2019:23:36:14 +0900] "GET /chap02/useDecl HTTP/1.1" 404 1092
127.0.0.1 - - [11/Jan/2019:23:36:22 +0900] "GET /chap02/requestInfo.jsp HTTP/1.1" 500 2690
127.0.0.1 - - [11/Jan/2019:23:37:35 +0900] "GET /chap02/requestInfo.jsp HTTP/1.1" 500 3474
